 
 =================================================
      AMS 260 - CFD, 1D Euler FVM Code            
       Written by Prof. Dongwook Lee              
            Winter Quarter, 2015                  
 =================================================
 
 
        Initial condition was written!            
 =================================================
    Steps      Time              dt               
   835      1.56482777       0.00185208
   836      1.56667918       0.00185140
   837      1.56852998       0.00185080
   838      1.57038063       0.00185065
   839      1.57223037       0.00184974
   840      1.57408001       0.00184964
   841      1.57593010       0.00185009
   842      1.57777974       0.00184965
   843      1.57962978       0.00185004
   844      1.58148012       0.00185034
   845      1.58333064       0.00185052
   846      1.58518133       0.00185069
   847      1.58703209       0.00185076
   848      1.58888306       0.00185097
   849      1.59073387       0.00185080
   850      1.59258535       0.00185148
   851      1.59443719       0.00185184
   852      1.59628933       0.00185215
   853      1.59814266       0.00185332
   854      1.59999703       0.00185438
   855      1.60185222       0.00185519
   856      1.60370908       0.00185686
   857      1.60556644       0.00185736
   858      1.60742300       0.00185656
   859      1.60927869       0.00185570
   860      1.61113437       0.00185567
   861      1.61298986       0.00185549
   862      1.61484491       0.00185505
   863      1.61670040       0.00185549
   864      1.61855649       0.00185609
   865      1.62041265       0.00185616
   866      1.62226976       0.00185711
   867      1.62412748       0.00185772
   868      1.62598590       0.00185842
   869      1.62784535       0.00185944
   870      1.62970529       0.00185994
   871      1.63156661       0.00186132
   872      1.63342862       0.00186202
   873      1.63529178       0.00186316
   874      1.63715635       0.00186457
   875      1.63902186       0.00186551
   876      1.64088860       0.00186674
   877      1.64275618       0.00186758
   878      1.64462432       0.00186814
   879      1.64649322       0.00186891
   880      1.64836192       0.00186869
   881      1.65023124       0.00186932
   882      1.65210073       0.00186949
   883      1.65397056       0.00186983
